year,month,export_country,export_country_code,export_country_region,export_country_subregion,export_country_latitude,export_country_longitude,import_country,import_country_code,import_country_region,import_country_subregion,import_country_latitude,import_country_longitude,commodity,value,quantity,unit_price
2015,1,Albania,ALB,Europe,Southern Europe,41.13180899,20.06882519,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,21207242,481201,-0.11384208698893263
2015,1,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,oil,19124088,339673,0.18482300412117017
2015,1,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,53244936,855664,0.3295155032774135
2015,1,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,107596271,1501330,0.560067914145417
2015,1,Argentina,ARG,Americas,Latin America and the Caribbean,-34.98567234,-65.12225892,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,50166967,933710,0.1219926703401407
2015,1,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,296467655,5056127,0.2418175562466628
2015,1,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,40262671,499264,0.7792866346755588
2015,1,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,3183160566,61973320,0.0642318798078519
2015,1,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,3723281,66233,0.18270881538004563
2015,1,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,2110812161,34141078,0.3197403406558618
2015,1,Chad,TCD,Africa,Sub-Saharan Africa,15.35740495,18.66399556,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,92457007,1423317,0.39624213087242294
2015,1,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,431219480,8194995,0.09491546420903768
2015,1,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,25547686,474158,0.12569175749206013
2015,1,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,185336607,3396295,0.1425450048218151
2015,1,Congo,COG,Africa,Sub-Saharan Africa,-0.83949506,15.22629207,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,oil,28176140,491534,0.2097664448091227
2015,1,Congo,COG,Africa,Sub-Saharan Africa,-0.83949506,15.22629207,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,37536678,458076,0.8110375980999054
2015,1,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,581868057,9603600,0.28951634882126936
2015,1,Iraq,IRQ,Asia,Western Asia,33.04497404,43.77207391,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,421329177,5083518,0.8339247748715539
2015,1,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,82934875,1458766,0.19828602386148445
2015,1,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,626332139,8125513,0.6923028221379057
2015,1,Libya,LBY,Africa,Northern Africa,27.04420762,18.02212777,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,22748842,285568,0.7552977564351996
2015,1,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1122383548,19647922,0.20492932747851314
2015,1,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,4030182,99253,-0.19849271488877196
2015,1,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,293033437,3977309,0.6091292604748246
2015,1,Nigeria,NGA,Africa,Sub-Saharan Africa,9.590667555,8.10605344,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,22720737,491222,-0.06055564641888677
2015,1,Nigeria,NGA,Africa,Sub-Saharan Africa,9.590667555,8.10605344,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,73276789,994369,0.609506333885218
2015,1,Peru,PER,Americas,Latin America and the Caribbean,-9.167216491,-74.37537796,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,6458892,156579,-0.18274348681689373
2015,1,Peru,PER,Americas,Latin America and the Caribbean,-9.167216491,-74.37537796,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,17975711,355285,0.04547150187921939
2015,1,Saudi Arabia,SAU,Asia,Western Asia,24.12628999,44.54637538,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,6369065,153294,-0.17546645837488084
2015,1,Saudi Arabia,SAU,Asia,Western Asia,24.12628999,44.54637538,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1933178948,28471264,0.46805059649061365
2015,1,United Kingdom,GBR,Europe,Northern Europe,53.75504855,-2.103843405,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,28526452,511410,0.17208851944542378
2015,1,United States,USA,Americas,Northern America,45.73643438,-112.404207,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,oil,2503,0,-1.1900998321206508
2015,2,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,78692642,1584128,0.02301657036758072
2015,2,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,107846698,1775230,0.2934797335278073
2015,2,Argentina,ARG,Americas,Latin America and the Caribbean,-34.98567234,-65.12225892,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,4649762,95134,0.0034858080333386777
2015,2,Australia,AUS,Oceania,Australia and New Zealand,-25.40546125,134.2181189,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,26451219,524869,0.04060352968205807
2015,2,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,278717194,4529448,0.31261682934261825
2015,2,Cameroon,CMR,Africa,Sub-Saharan Africa,5.68036831,12.74068837,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,oil,28687480,638778,-0.09336643495539046
2015,2,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,2471551442,60065483,-0.18524506026086224
2015,2,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,641074,15562,-0.18409197796773158
2015,2,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1364243973,27485409,0.02202809859709198
2015,2,Chad,TCD,Africa,Sub-Saharan Africa,15.35740495,18.66399556,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,104925992,1902194,0.15696002797102368
2015,2,Chad,TCD,Africa,Sub-Saharan Africa,15.35740495,18.66399556,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,24901194,476943,0.08490641142039242
2015,2,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,231392288,4845270,-0.02385558010381354
2015,2,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,127263980,2434984,0.0862449520789099
2015,2,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,313143782,6527244,-0.01851817495945818
2015,2,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,51586895,1072417,-0.015379954568650277
2015,2,Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,1.412936146,10.61572825,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,oil,52007819,1049793,0.019728046069794197
